Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,,4
GV-Elect Government,GV-Elect Government,,2
GV-Make Government Work,GV-Make Government Work,,7
GV-Open Government,GV-Open Government,,7
HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,,4
HR Employee & Labour Relations,HR Employee & Labour Relations,,3
HR Employment Services,HR Employment Services,,2
HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,,3
HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,,2
HS-Homeless and Housing First Solutions,HS-Homeless and Housing First Solutions,,12
HS-Social Housing System Management,HS-Social Housing System Management,,19
Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,,1
Heritage Promotion & Education,Heritage Promotion & Education,,4
Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,,2
Housing Policy & Partnerships,Housing Policy & Partnerships,,2
IT-Business IT Solutions,IT-Business IT Solutions,,13
IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,,8
IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,,11
Infectious Diseases,Infectious Diseases,,6
Library Collections Access & Borrowing,Library Collections Access & Borrowing,,6
Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,,6
"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",,5
Long Term Care Homes,Long Term Care Homes,,5
"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",,15
"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",,9
MS-By-Law Enforcement,MS-By-Law Enforcement,,4
"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",,12
New Affordable Housing Development,New Affordable Housing Development,,3
Off-Street Parking,Off-Street Parking,,2
On-Street Parking,On-Street Parking,,1
Organizational Effectiveness,Organizational Effectiveness,,2
PA-Emergency Management,PA-Emergency Management,,3
PA-Financial Management,PA-Financial Management,,2
PA-Program Support,PA-Program Support,,8
PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,,3
PMM-Purchasing,PMM-Purchasing,,5
PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,,2
PPEB-Payroll,PPEB-Payroll,,7
PR-Community Recreation,PR-Community Recreation,,25
PR-Parks,PR-Parks,,24
PR-Urban Forestry,PR-Urban Forestry,,12
Prosecution,Prosecution,,1
Public Health Foundations,Public Health Foundations,,5
Public Space - Community Access,Public Space - Community Access,,1
RS-Parking Ticket,RS-Parking Ticket,,1
RS-Property Tax Billing,RS-Property Tax Billing,,3
RS-Revenue Accounting & Collection,RS-Revenue Accounting & Collection,,8
"RS-Tax, Utility & Parking Ticket Client Services","RS-Tax, Utility & Parking Ticket Client Services",,7
RS-Utility Billing,RS-Utility Billing,,4
SS-Employment Services,SS-Employment Services,,5
SS-Financial Supports,SS-Financial Supports,,5
SS-Integrated Case Management and Service Planning,SS-Integrated Case Management and Service Planning,,6
SW-City Beautification,SW-City Beautification,,1
SW-Residual Management,SW-Residual Management,,6
SW-Solid Waste Collection & Transfer,SW-Solid Waste Collection & Transfer,,7
SW-Solid Waste Processing & Transport,SW-Solid Waste Processing & Transport,,18
Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,,3
Solicitor,Solicitor,,4
Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),,1
TO-311 Development,TO-311 Development,,1
TP-Permits & Applications,TP-Permits & Applications,,19
TP-Road & Sidewalk Management,TP-Road & Sidewalk Management,,23
TP-Transportation Safety & Operations,TP-Transportation Safety & Operations,,14
TW-Stormwater Management,TW-Stormwater Management,,7
TW-Wastewater Collection & Treatment,TW-Wastewater Collection & Treatment,,7
TW-Water Treatment & Supply,TW-Water Treatment & Supply,,6
Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,,3
Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,,1
Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,,3
Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,,2
WT-Engineering Information,WT-Engineering Information,,6
WT-Engineering Review & Acceptance,WT-Engineering Review & Acceptance,,8
WT-Municipal Infrastructure Construction,WT-Municipal Infrastructure Construction,,7
Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,,3
Zoo Conservation & Science,Zoo Conservation & Science,,3
Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,,2
Zoo Visitor Services,Zoo Visitor Services,,4
